Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date,Customer Rating
256,1792,2010-11-08,Low,28,370.48,0.04,Regular Air,-5.45 USD,13.48,4.51,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,2010-11-13,
330,2275,2012-10-21,Not Specified,49,278.0,0.08,Regular Air,41.67 USD,6.08,1.17,Grant Carroll,Nunavut,Nunavut,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,2012-10-22,
331,2277,2011-01-01,Not Specified,10,66.54,0.01,Regular Air,-46.03 USD,5.98,4.38,Don Miller,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,2011-01-02,Average
362,2532,2011-10-10,High,39,282.07,0.03,Regular Air,140.01 USD,7.31,0.49,Alan Barnes,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,2011-10-11,
381,2631,2010-09-23,Low,27,1078.49,0.08,Regular Air,252.66 USD,40.96,1.99,Jack Garza,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,2010-09-25,
406,2757,2011-07-19,Critical,39,3554.46,0.07,Delivery Truck,-1766.01 USD,95.95,74.35,Julia West,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,2011-07-19,
413,2791,2009-10-09,High,47,191.67,0.0,Regular Air,-236.2675 USD,3.89,7.01,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,2009-10-09,Excellent
415,2791,2009-10-09,High,18,507.64,0.1,,118.94 USD,30.98,5.76,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4,2009-10-10,
440,2976,2010-12-09,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22 USD,500.98,26.0,Edward Hooks,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum,0.6,2010-12-11,
471,3232,2012-10-08,Critical,5,42.66,0.06,Regular Air,-11.8335 USD,7.84,4.71,Brad Eason,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Small Box,0.35,2012-10-10,
577,3908,2010-03-08,Medium,8,820.284,0.0,Regular Air,-180.202 USD,115.99,2.5,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,0.57,2010-03-08,
606,4132,2011-05-28,Not Specified,5,14.76,0.01,Regular Air,1.32 USD,2.88,0.5,Aaron Bergman,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,2011-05-30,
656,4612,2010-09-19,Medium,9,89.55,0.06,Regular Air,-375.64 USD,4.48,49.0,Jim Radford,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6,2010-09-21,
669,4676,2011-08-31,High,11,1210.0514999999998,0.04,Regular Air,-104.24700000000009 USD,125.99,7.69,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,2011-09-01,Poor
670,4676,2011-08-31,High,50,187.83,0.03,Regular Air,85.96 USD,3.75,0.5,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Labels,Avery 510,Small Box,0.37,2011-09-02,Average
671,4676,2011-08-31,High,3,49.59,0.07,Express Air,-8.38 USD,12.28,6.47,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,0.38,2011-09-02,
734,5284,2011-07-08,Not Specified,7,59.38,0.1,Regular Air,-3.0475 USD,8.69,2.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2011-07-10,
769,5506,2010-11-07,Critical,22,129.62,0.05,Regular Air,4.41 USD,5.88,3.04,Beth Thompson,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,2010-11-08,
782,5569,2010-04-29,Not Specified,12,118.97,0.09,Regular Air,-0.0599999999999951 USD,9.65,6.22,Frank Price,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,2010-05-01,
786,5607,2011-12-31,Not Specified,8,61.871500000000005,0.0,Regular Air,-50.325 USD,7.99,5.03,Michelle Lonsdale,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,2012-01-03,Average
817,5894,2009-08-12,High,7,384.33,0.1,Regular Air,87.6775 USD,58.1,1.49,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,2009-08-13,
821,5925,2011-11-12,Low,44,3922.42,0.08,Regular Air,-354.9 USD,92.23,39.61,Joy Bell,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,2011-11-19,
839,6016,2012-01-20,High,19,208.28,0.07,Regular Air,3.63 USD,11.48,5.43,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Personal Creations™ Ink Jet Cards and Labels,Small Box,0.36,2012-01-20,
853,6116,2009-03-20,Medium,6,9620.82,0.04,Regular Air,-1759.58 USD,1637.53,24.49,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,2009-03-22,
864,6182,2012-07-21,Low,18,130.32,0.04,Express Air,-67.28 USD,6.48,7.86,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,2012-07-25,
911,6535,2012-06-12,Critical,11,312.36,0.07,Express Air,-19.33 USD,28.15,8.99,Adrian Hane,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,2012-06-15,
950,6884,2009-01-15,Low,41,217.0,0.01,Regular Air,-61.21 USD,4.98,4.75,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,2009-01-20,Excellent
956,6916,2010-06-04,Low,40,436.17,0.08,Express Air,-141.27 USD,10.9,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box,0.59,2010-06-08,
963,6980,2010-02-18,Not Specified,18,136.29,0.05,Regular Air,-77.28 USD,7.3,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2010-02-19,Average
964,6982,2011-11-16,Not Specified,32,1311.25,0.0,Express Air,407.44 USD,39.48,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,2011-11-18,Excellent
966,6982,2011-11-16,Not Specified,41,844.09,0.04,Regular Air,52.56 USD,19.98,10.49,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,2011-11-18,
988,7110,2011-08-07,Low,22,6396.2,0.02,Regular Air,1902.24 USD,276.2,24.49,Grant Carroll,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,2011-08-11,
1017,7430,2010-06-08,Medium,50,751.77,0.05,Regular Air,353.2 USD,15.67,1.39,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,2010-06-09,
1154,8391,2011-08-28,High,4,1266.72,0.04,Delivery Truck,-268.36 USD,300.98,64.73,Sylvia Foulston,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,2011-08-29,
1156,8419,2011-09-29,Critical,19,368.04,0.07,Express Air,70.39 USD,19.98,5.97,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,0.38,2011-10-01,
1157,8419,2011-09-29,Critical,24,152.6,0.1,Regular Air,-86.62 USD,6.48,7.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,2011-09-30,
1205,8833,2012-05-04,Low,40,3338.98,0.0,Regular Air,-846.73 USD,80.98,35.0,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,2012-05-08,
1226,8995,2011-05-17,High,5,24.16,0.08,Express Air,8.0495 USD,1.88,1.49,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,2011-05-18,
1229,8995,2011-05-17,High,42,266.36,0.07,,-191.28 USD,6.48,8.19,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.37,2011-05-18,
1230,8995,2011-05-17,High,46,89.41,0.01,Regular Air,-21.49 USD,1.89,0.76,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,2011-05-19,
1258,9126,2009-11-17,Medium,47,2799.7,0.04,Regular Air,884.08 USD,62.05,3.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,2009-11-18,Excellent
1259,9127,2011-10-10,Not Specified,7,2039.56,0.04,Express Air,-329.49 USD,279.48,35.0,Bryan Davis,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,2011-10-12,
1299,9509,2012-10-07,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15 USD,320.98,58.95,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,2012-10-08,Excellent
1300,9509,2012-10-07,Not Specified,5,101.21,0.1,Express Air,2.13 USD,18.97,5.21,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,0.37,2012-10-08,
1337,9763,2011-08-13,Medium,44,176.26,0.07,Regular Air,75.13 USD,4.13,0.5,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39,2011-08-16,
1370,9927,2011-08-16,High,32,4655.07,0.0,Delivery Truck,-270.63 USD,140.98,53.48,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,2011-08-17,
1371,9927,2011-08-16,High,44,10087.6,0.01,Regular Air,3387.35 USD,218.08,18.06,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,2011-08-17,
1380,10022,2009-03-04,Low,1,12.18,0.06,Regular Air,-3.88 USD,10.14,2.27,Delfina Latchford,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,2009-03-04,
1457,10499,2010-11-16,Not Specified,29,6250.936000000001,0.01,Delivery Truck,31.21 USD,262.11,62.74,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,2010-11-17,Poor
1495,10789,2010-08-23,Not Specified,15,308.54,0.0,Express Air,76.42 USD,19.84,4.1,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,2010-08-24,
1496,10791,2011-08-19,Not Specified,20,400.57,0.05,Regular Air,93.36 USD,19.98,5.77,Anthony Johnson,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,0.38,2011-08-21,
1513,10945,2012-01-03,Medium,14,1170.025,0.04,Regular Air,4.221000000000011 USD,95.99,8.99,Ralph Knight,Northwest Territories,Northwest Territories,Consumer,Technology,Telephones and Communication,600 Series Flip,Small Box,0.57,2012-01-05,
1544,11137,2012-11-29,High,48,5188.86,0.1,Regular Air,395.12 USD,111.03,8.64,Allen Rosenblatt,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,0.78,2012-11-30,
1589,11456,2010-04-12,Low,15,1519.9,0.09,,399.37 USD,105.34,24.49,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61,2010-04-19,
1590,11460,2010-08-24,High,30,102.24,0.09,Regular Air,37.79 USD,3.69,0.5,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Labels,Avery 487,Small Box,0.38,2010-08-26,Poor
1594,11495,2011-07-04,High,6,965.69,0.0,Delivery Truck,-144.198 USD,146.34,43.75,Brendan Dodson,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Jumbo Box,0.65,2011-07-05,Poor
1654,11911,2010-11-10,Critical,25,397.84,0.0,Regular Air,-14.7545 USD,15.22,9.73,Edward Hooks,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Binders and Binder Accessories,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Small Box,0.36,2010-11-12,
1675,12096,2012-09-19,Medium,46,8009.592499999999,0.02,Regular Air,2332.395 USD,200.99,8.08,Michelle Lonsdale,Northwest Territories,Northwest Territories,Home Office,Technology,Telephones and Communication,5125,Small Box,0.59,2012-09-19,
1676,12096,2012-09-19,Medium,23,4689.66,0.01,Regular Air,2176.19 USD,194.3,11.54,Michelle Lonsdale,Northwest Territories,Northwest Territories,Home Office,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp,Large Box,0.59,2012-09-21,
1710,12289,2011-12-24,Low,25,3019.41,0.04,Regular Air,1269.05 USD,120.97,7.11,Brendan Dodson,Northwest Territories,Northwest Territories,Corporate,Technology,Office Machines,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Medium Box,0.36,2011-12-28,
1718,12352,2012-03-23,Medium,5,36.86,0.07,Regular Air,-32.821 USD,5.81,8.49,Hunter Glantz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,Small Box,0.39,2012-03-24,Excellent
1727,12419,2011-10-15,Critical,12,22079.47,0.06,Regular Air,5322.14 USD,1938.02,13.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Technology,Office Machines,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Medium Box,0.38,2011-10-17,
1745,12485,2010-08-07,Critical,24,5407.31,0.04,Delivery Truck,1068.48 USD,226.67,28.16,Eugene Barchas,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon GuestStacker Chair,Jumbo Drum,0.59,2010-08-08,
1751,12544,2009-03-03,Low,34,74.3,0.08,Regular Air,-129.01 USD,2.08,5.33,Jim Radford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Eldon® Wave Desk Accessories,Small Box,0.43,2009-03-10,
1770,12704,2010-02-09,Low,44,21506.77,0.06,Regular Air,1260.51 USD,499.99,24.49,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business,Technology,Copiers and Fax,Sharp AL-1530CS Digital Copier,Large Box,0.36,2010-02-09,
1771,12704,2010-02-09,Low,28,669.02,0.02,Delivery Truck,-1274.02 USD,20.98,53.03,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.78,2010-02-11,
1781,12771,2009-01-17,Critical,40,1143.49,0.08,Regular Air,-193.44 USD,30.53,19.99,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Small Box,0.39,2009-01-17,
1806,12929,2010-08-30,Critical,19,5297.47,0.02,Delivery Truck,-158.93 USD,270.98,50.0,Jim Radford,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jumbo Drum,0.77,2010-08-31,
1807,12929,2010-08-30,Critical,20,95.3,0.0,Regular Air,29.68 USD,4.48,1.22,Jim Radford,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Paper,Spiral Phone Message Books with Labels by Adams,Wrap Bag,0.36,2010-08-31,
1843,13280,2009-09-11,High,49,318.7585,0.1,Regular Air,-160.952 USD,7.99,5.03,Grant Carroll,Northwest Territories,Northwest Territories,Small Business,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,2009-09-12,
1848,13313,2009-07-16,Not Specified,47,1020.61,0.04,Regular Air,-209.61 USD,21.66,13.99,Skye Norling,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Appliances,Holmes 99% HEPA Air Purifier,Medium Box,0.52,2009-07-17,
1855,13346,2012-11-15,Low,44,268.34,0.09,Regular Air,-240.83 USD,6.48,8.88,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Paper,Xerox 224,Small Box,0.37,2012-11-20,Average
1913,13702,2011-09-10,Low,6,209.0,0.08,Regular Air,12.32 USD,35.44,7.5,Grant Carroll,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Xerox 1906,Small Box,0.38,2011-09-14,
1928,13795,2011-04-10,Not Specified,30,501.32,0.04,Regular Air,-119.0825 USD,15.99,13.18,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,2011-04-13,Excellent
1929,13795,2011-04-10,Not Specified,23,275.16,0.05,Express Air,43.35 USD,11.34,5.01,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Xerox 188,Small Box,0.36,2011-04-13,
1930,13795,2011-04-10,Not Specified,37,1302.99,0.02,Regular Air,545.49 USD,35.44,5.09,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Xerox 1932,Small Box,0.38,2011-04-11,
1978,14116,2011-10-09,High,1,40.1,0.09,Regular Air,-16.0655 USD,30.98,11.63,Doug Bickford,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Binders and Binder Accessories,GBC Linen Binding Covers,Small Box,0.37,2011-10-11,
1979,14116,2011-10-09,High,42,1414.05,0.09,Regular Air,161.483 USD,34.54,14.72,Doug Bickford,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Binders and Binder Accessories,GBC Recycled Grain Textured Covers,Small Box,0.37,2011-10-10,
2070,14819,2010-01-25,Not Specified,48,9062.73,0.09,Regular Air,3122.78 USD,207.48,0.99,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Small Box,0.55,2010-01-27,
2071,14819,2010-01-25,Not Specified,27,1584.1,0.07,Delivery Truck,-478.22 USD,58.14,36.61,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Jumbo Box,0.61,2010-01-26,
2114,15106,2011-01-27,Not Specified,42,283.58,0.03,Regular Air,-14.23 USD,6.64,4.95,Dorothy Badders,Northwest Territories,Northwest Territories,Home Office,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,2011-01-29,
2115,15106,2011-01-27,Not Specified,39,5403.37,0.06,Delivery Truck,948.79 USD,145.45,17.85,Dorothy Badders,Northwest Territories,Northwest Territories,Home Office,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56,2011-01-27,
2116,15106,2011-01-27,Not Specified,35,82.15,0.03,Regular Air,-6.33 USD,2.21,1.12,Dorothy Badders,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Pens & Art Supplies,Newell 327,Wrap Bag,0.58,2011-01-29,
