Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date,Shipping Cost (log),Unit Price (log)
2012-07-16,Medium,23.0,65.91,0.01,Regular Air,0.7600000000000007,Quincy Jones,Alberta,West,Small Business,Office Supplies,Pens & Art Supplies,Prang Drawing Pencil Set,Wrap Bag,0.45,2012-07-16,0.8501509293696101,1.3297240096314962
2010-09-25,Medium,12.0,385.7,0.0,Regular Air,-109.91,Becky Castell,Ontario,Ontario,Consumer,Technology,Computer Peripherals,Logitech Internet Navigator Keyboard,Small Box,0.79,2010-09-26,2.0149030205422647,3.4651107074058083
2010-08-30,Low,38.0,612.49,0.09,Regular Air,168.04,Karen Daniels,Ontario,Ontario,Consumer,Technology,Computer Peripherals,"Maxell Pro 80 Minute CD-R, 10/Pack",Small Pack,0.45,2010-09-04,1.095273387402595,2.916689066213538
2011-03-10,Low,2.0,57.5,0.02,Regular Air,-83.18,Seth Vernon,British Columbia,West,Home Office,Technology,Computer Peripherals,"Memorex 4.7GB DVD+RW, 3/Pack",Small Pack,0.4,2011-03-12,1.095273387402595,3.383712067321136
2011-04-29,Low,45.0,500.48,0.08,Regular Air,-48.2,Harold Engle,Prince Edward Island,Atlantic,Home Office,Office Supplies,Storage & Organization,X-Rack™ File for Hanging Folders,Small Box,0.59,2011-05-06,1.7967470107390942,2.5087859235779435
2010-11-14,High,9.0,96.52,0.1,Regular Air,16.78,Mathew Reese,Quebec,Quebec,Small Business,Furniture,Office Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Small Box,0.57,2010-11-15,1.8180767775454285,2.454447442303292
2012-01-31,Not Specified,21.0,787.63,0.05,Regular Air,140.22,Jonathan Howell,Ontario,Ontario,Consumer,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,2012-02-01,1.095273387402595,3.70080802497921
2009-10-10,Critical,5.0,43.55,0.1,Regular Air,-3.64,Jason Klamczynski,Quebec,Quebec,Home Office,Office Supplies,Paper,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Wrap Bag,0.4,2009-10-12,1.1474024528375417,2.3135250330323798
2009-10-21,High,3.0,14.84,0.08,Regular Air,-2.42,Maya Herman,Saskachewan,Prarie,Corporate,Office Supplies,Labels,Avery White Multi-Purpose Labels,Small Box,0.39,2009-10-22,0.3987761199573678,1.7884205679625405
2011-01-24,Not Specified,45.0,1090.6,0.07,Regular Air,300.91,Lisa DeCherney,British Columbia,West,Corporate,Technology,Office Machines,TI 36X Solar Scientific Calculator,Medium Box,0.38,2011-01-25,1.9878743481543455,3.218475744846861
2009-02-20,Medium,41.0,241.1,0.07,Regular Air,-243.2365,Anthony Johnson,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,Small Box,0.39,2009-02-22,2.2502386126218363,1.918392120161421
2009-06-22,Medium,43.0,815.89,0.1,Regular Air,-20.25,Alex Grayson,Nova Scotia,Atlantic,Consumer,Technology,Computer Peripherals,Belkin 105-Key Black Keyboard,Small Box,0.68,2009-06-24,1.6094379124341003,3.043569602968151
2009-03-05,Not Specified,44.0,479.96,0.08,Regular Air,122.536,Denise Monton,Manitoba,Prarie,Home Office,Office Supplies,Binders and Binder Accessories,Heavy-Duty E-Z-D® Binders,Small Box,0.38,2009-03-06,1.3837912309017721,2.477378383367209
2011-01-28,Not Specified,26.0,113.85,0.06,Regular Air,-93.93,Beth Thompson,Prince Edward Island,Atlantic,Corporate,Furniture,Office Furnishings,Eldon Image Series Black Desk Accessories,Small Box,0.49,2011-01-30,2.028148247292285,1.6370530794670737
2012-01-25,Critical,25.0,159.0,0.1,Regular Air,-98.15,Maria Bertelson,Ontario,Ontario,Home Office,Office Supplies,Paper,Xerox 210,Small Box,0.37,2012-01-27,2.124653884501384,2.012232791986386
2012-06-10,Medium,3.0,35.68,0.01,Regular Air,-11.43,Tracy Collins,Manitoba,Prarie,Consumer,Office Supplies,Envelopes,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Small Box,0.35,2012-06-11,1.9110228900548727,2.377692565480851
2011-09-07,Not Specified,16.0,48.37,0.02,Regular Air,18.02,Christine Kargatis,Ontario,Ontario,Small Business,Office Supplies,Labels,Avery 504,Small Box,0.36,2011-09-09,0.4054651081081644,1.355835153635182
2009-12-14,Low,46.0,590.43,0.09,Regular Air,82.5945,Joy Smith,Prince Edward Island,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,GBC Binding covers,Small Box,0.4,2009-12-21,1.7884205679625405,2.6354795082673745
2009-03-14,Not Specified,24.0,109.86,0.02,Regular Air,-63.87,Beth Fritzler,Saskachewan,Prarie,Small Business,Office Supplies,Paper,Xerox 1971,Small Box,0.4,2009-03-15,1.8196988379172965,1.66392609771817
2011-03-15,Low,20.0,246.06,0.08,Regular Air,20.67,Tom Prescott,Yukon,Yukon,Small Business,Furniture,Office Furnishings,Eldon® 500 Class™ Desk Accessories,Wrap Bag,0.52,2011-03-17,1.9740810260220096,2.570319527636131
2010-11-19,High,15.0,37.7,0.1,Regular Air,-81.08,Charles Crestani,Yukon,Yukon,Consumer,Office Supplies,Paper,"Ampad® Evidence® Wirebond Steno Books, 6"" x 9""",Wrap Bag,0.38,2010-11-21,2.0906287310704004,1.1568811967920856
2009-11-10,High,25.0,342.85,0.06,Regular Air,-32.4162,Joy Smith,Manitoba,Prarie,Consumer,Technology,Office Machines,Sharp EL500L Fraction Calculator,Medium Box,0.39,2009-11-12,2.1412419425852827,2.7073833121145063
2010-09-02,Medium,43.0,856.45,0.03,Regular Air,265.1,Arthur Prichep,Ontario,Ontario,Home Office,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,2010-09-02,1.62924053973028,3.0368742168851663
2012-09-30,Medium,39.0,856.15,0.03,Express Air,330.0295,Grant Thornton,British Columbia,West,Corporate,Office Supplies,Binders and Binder Accessories,Trimflex™ Flexible Post Binders,Small Box,0.37,2012-10-01,1.3837912309017721,3.108167702883779
2009-08-06,High,31.0,163.89,0.02,Regular Air,-108.55,Ivan Gibson,Manitoba,Prarie,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,2009-08-07,1.780024213009634,1.7732559976634952
2011-02-02,Not Specified,24.0,145.15,0.07,Regular Air,-169.165,Tom Ashbrook,Yukon,Yukon,Home Office,Office Supplies,Binders and Binder Accessories,Storex Dura Pro™ Binders,Small Box,0.38,2011-02-04,2.3905959703167587,1.937301774518713
2011-12-29,Not Specified,32.0,166.17,0.01,Regular Air,-22.74,Max Engle,Alberta,West,Corporate,Furniture,Office Furnishings,"Master Caster Door Stop, Gray",Wrap Bag,0.51,2011-12-30,1.5325568680981427,1.8050046959780757
2009-05-25,Not Specified,2.0,35.666,0.06,Regular Air,-112.189,Dianna Vittorini,Yukon,Yukon,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,2009-05-27,1.252762968495368,3.09058780456667
2011-03-08,Not Specified,12.0,138.67,0.08,Regular Air,-9.7175,Denise Monton,Saskachewan,Prarie,Home Office,Office Supplies,Binders and Binder Accessories,Fellowes Binding Cases,Small Box,0.4,2011-03-10,1.891604804197771,2.5416019934645457
2010-07-09,Medium,18.0,388.13,0.04,Regular Air,40.11,Christy Brittain,Yukon,Yukon,Consumer,Office Supplies,Paper,Standard Line™ “While You Were Out” Hardbound Telephone Message Book,Wrap Bag,0.39,2010-07-10,2.2321626286975,3.1346242724206097
2009-01-09,Low,47.0,117.88,0.1,Regular Air,-71.0,Olvera Toch,Ontario,Ontario,Home Office,Office Supplies,Pens & Art Supplies,12 Colored Short Pencils,Wrap Bag,0.58,2009-01-14,1.2237754316221157,1.2809338454620645
2010-11-01,Critical,37.0,231.65,0.0,Regular Air,-241.28,Jeremy Pistek,Yukon,Yukon,Corporate,Office Supplies,Paper,Xerox 1895,Small Box,0.4,2010-11-01,2.432735777459091,1.943048916774281
2009-06-10,High,7.0,57.03,0.0,Regular Air,-31.38,Tom Prescott,Newfoundland,Atlantic,Small Business,Technology,Computer Peripherals,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Small Pack,0.68,2009-06-10,1.5085119938441398,2.1138429683971682
2010-05-09,Medium,19.0,36.37,0.07,Regular Air,-10.258,Edward Becker,Ontario,Ontario,Home Office,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,2010-05-10,0.9122827104766162,1.0577902941478545
2009-01-14,Medium,29.0,577.89,0.06,Regular Air,-53.89,Tamara Manning,Alberta,West,Corporate,Furniture,Office Furnishings,Telescoping Adjustable Floor Lamp,Large Box,0.6,2009-01-14,2.498973906999436,3.0440461338325413
2011-03-16,Low,31.0,109.49,0.04,Regular Air,26.09,Christopher Schild,Prince Edward Island,Atlantic,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter® Fluorescent Desk Style Markers,Wrap Bag,0.48,2011-03-16,0.6151856390902335,1.4770487243883548
2009-08-22,Not Specified,10.0,56.91,0.01,Regular Air,7.5,Cynthia Delaney,Manitoba,Prarie,Corporate,Office Supplies,Paper,Array® Memo Cubes,Wrap Bag,0.36,2009-08-24,1.1118575154181303,1.8213182714695995
2010-11-05,Not Specified,29.0,1158.45,0.1,Regular Air,267.16,Sally Knutson,British Columbia,West,Corporate,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,Small Box,0.56,2010-11-05,1.7047480922384253,3.754433084853375
2012-09-30,Low,40.0,73.62,0.05,Regular Air,0.86,Carol Triggs,Quebec,Quebec,Home Office,Office Supplies,Pens & Art Supplies,"Crayola Anti Dust Chalk, 12/Pack",Wrap Bag,0.4,2012-10-02,0.6931471805599453,1.0367368849500223
2012-05-12,High,8.0,593.64,0.02,Delivery Truck,65.24685,Clay Ludtke,Quebec,Quebec,Consumer,Furniture,Tables,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Jumbo Drum,0.56,2012-05-14,4.110873864173311,4.4577137165202165
2012-08-05,Critical,41.0,802.16,0.1,Regular Air,-293.45,Liz Willingham,Ontario,Ontario,Corporate,Furniture,Office Furnishings,Luxo Economy Swing Arm Lamp,Large Box,0.57,2012-08-07,2.7644305345383176,3.041661205442391
2010-11-22,Not Specified,11.0,13.52,0.03,Regular Air,-27.66,Sanjit Jacobs,British Columbia,West,Consumer,Technology,Computer Peripherals,"Sony IBM Color Diskettes, 25/Pack",Small Pack,0.61,2010-11-23,1.3762440252663892,0.688134638736401
2012-07-29,Critical,39.0,248.64,0.08,Regular Air,-69.27,Nona Balk,New Brunswick,Atlantic,Corporate,Furniture,Office Furnishings,"Eldon® 200 Class™ Desk Accessories, Burgundy",Small Box,0.43,2012-07-30,1.8389610707123492,1.9851308622085946
2012-11-19,Medium,16.0,302.1325,0.02,Regular Air,38.907,Duane Benoit,Ontario,Ontario,Home Office,Technology,Telephones and Communication,Accessory25,Wrap Bag,0.57,2012-11-21,0.688134638736401,3.09058780456667
2011-12-30,Medium,40.0,239.86,0.04,Regular Air,-32.06,Sally Knutson,British Columbia,West,Consumer,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head",Wrap Bag,0.54,2011-12-31,1.4747630091074988,1.918392120161421
2009-09-20,Medium,48.0,128.0,0.09,Regular Air,45.51,Christina DeMoss,British Columbia,West,Home Office,Office Supplies,Labels,Avery 498,Small Box,0.38,2009-09-22,0.4054651081081644,1.358409157630355
2011-01-06,Medium,26.0,87.52,0.03,Regular Air,-70.02,Ralph Arnett,Quebec,Quebec,Consumer,Office Supplies,Pens & Art Supplies,Newell 337,Wrap Bag,0.56,2011-01-07,1.6034198401085373,1.4539530095937054
2010-12-28,Low,17.0,959.089,0.06,Regular Air,124.992,Logan Haushalter,Quebec,Quebec,Corporate,Technology,Telephones and Communication,6000,Small Box,0.55,2011-01-14,1.252762968495368,4.204543354520176
2010-05-14,Not Specified,36.0,912.44,0.04,Regular Air,182.72,Karen Seio,New Brunswick,Atlantic,Consumer,Furniture,Office Furnishings,"Executive Impressions 13"" Chairman Wall Clock",Small Pack,0.5,2010-05-16,2.301584592660462,3.2726061472891685
2010-05-22,Medium,45.0,261.0,0.04,Express Air,-43.45,Monica Federle,British Columbia,West,Corporate,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head",Wrap Bag,0.54,2010-05-23,1.4747630091074988,1.918392120161421
2010-10-07,High,31.0,813.41,0.09,Express Air,284.65,Art Foster,British Columbia,West,Home Office,Technology,Computer Peripherals,"Memorex 4.7GB DVD+RW, 3/Pack",Small Pack,0.4,2010-10-09,1.095273387402595,3.383712067321136
2011-10-28,Not Specified,35.0,764.32,0.02,Regular Air,-34.59,Dan Lawera,Ontario,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Boston 1730 StandUp Electric Pencil Sharpener,Small Pack,0.59,2011-10-30,2.301584592660462,3.108167702883779
2009-10-29,Not Specified,7.0,107.88,0.02,Regular Air,25.59,Cathy Armstrong,British Columbia,West,Consumer,Office Supplies,Envelopes,Park Ridge™ Embossed Executive Business Envelopes,Small Box,0.38,2009-10-30,0.8712933659434192,2.8075938314384716
2012-04-11,Low,33.0,103.32,0.0,Regular Air,-25.68,Ed Braxton,Manitoba,Prarie,Home Office,Office Supplies,Pens & Art Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Wrap Bag,0.57,2012-04-18,1.1085626195212777,1.3812818192963463
2009-02-24,Critical,12.0,580.46,0.03,Express Air,108.96,Jeremy Lonsdale,Quebec,Quebec,Corporate,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,Small Box,0.56,2009-02-26,1.6074359097634274,3.9035875266070446
2009-11-16,Low,23.0,1223.3795,0.08,Express Air,83.565,Liz Price,British Columbia,West,Corporate,Technology,Telephones and Communication,i500plus,Small Box,0.58,2009-11-23,1.9344157696295783,4.204543354520176
2012-10-16,Low,17.0,363.54,0.08,Regular Air,4.75,Muhammed Lee,Yukon,Yukon,Corporate,Office Supplies,Pens & Art Supplies,Boston 16801 Nautilus™ Battery Pencil Sharpener,Small Pack,0.59,2012-10-16,1.8764069432883397,3.1359289040472746
2010-02-24,Not Specified,15.0,101.82,0.08,Regular Air,-52.55,Jesus Ocampo,Ontario,Ontario,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,2010-02-25,2.0831845279586703,2.012232791986386
2009-11-21,Low,23.0,496.15,0.03,Regular Air,213.3755,Trudy Brown,Saskachewan,Prarie,Small Business,Office Supplies,Binders and Binder Accessories,Avery Legal 4-Ring Binder,Small Box,0.35,2009-11-21,0.9122827104766162,3.090132948975475
2009-10-10,Low,26.0,64.03,0.09,Regular Air,11.42,Phillip Flathmann,Manitoba,Prarie,Small Business,Office Supplies,Rubber Bands,Staples Metal Binder Clips,Wrap Bag,0.39,2009-10-12,0.5877866649021191,1.2864740258376797
2009-02-12,Low,15.0,103.62,0.1,Regular Air,39.98,David Smith,Ontario,Ontario,Small Business,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,2009-02-21,0.3987761199573678,2.1174596088673567
2010-04-25,High,34.0,289.53,0.08,Express Air,46.971,Christopher Martinez,British Columbia,West,Small Business,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2010-04-26,1.3837912309017721,2.2710944259026746
2009-08-12,Medium,1.0,52.0965,0.0,Regular Air,-232.804,Jonathan Howell,Ontario,Ontario,Consumer,Technology,Telephones and Communication,Accessory28,Small Pack,0.83,2009-08-14,1.252762968495368,4.0428758138469085
2010-06-07,Medium,19.0,141.96,0.05,Regular Air,38.43,Sibella Parks,Alberta,West,Small Business,Office Supplies,Paper,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Wrap Bag,0.4,2010-06-08,0.9969486348916095,2.128231705849268
2009-07-26,Low,16.0,88.84,0.02,Regular Air,-46.92,Edward Becker,Ontario,Ontario,Home Office,Office Supplies,Paper,Xerox 1897,Small Box,0.36,2009-07-28,1.9558604799084813,1.7884205679625405
2012-01-05,High,33.0,154.44,0.06,Regular Air,54.62,Pete Armstrong,Ontario,Ontario,Consumer,Office Supplies,Paper,Wirebound Voice Message Log Book,Wrap Bag,0.39,2012-01-08,0.6312717768418579,1.7509374747077997
2010-02-07,Medium,42.0,189.22,0.05,Regular Air,-92.42,Grace Kelly,Alberta,West,Consumer,Office Supplies,Paper,Xerox 1962,Small Box,0.4,2010-02-08,1.7561322915849038,1.66392609771817
2011-07-30,High,39.0,307.42,0.05,Regular Air,104.09,Naresj Patel,Ontario,Ontario,Small Business,Office Supplies,Paper,"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",Wrap Bag,0.38,2011-08-01,0.9895411936137477,2.2159372862683733
2010-03-18,Not Specified,19.0,337.38,0.0,Delivery Truck,-409.79,Dianna Vittorini,Yukon,Yukon,Corporate,Furniture,Tables,Anderson Hickey Conga Table Tops & Accessories,Jumbo Box,0.76,2010-03-19,3.3586377672433594,2.7868613815264998
2009-10-09,High,47.0,191.67,0.0,Regular Air,-236.2675,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,2009-10-09,2.080690761080268,1.5871923034867808
2009-01-15,High,25.0,201.06,0.08,Express Air,-80.86,Jennifer Jackson,Saskachewan,Prarie,Home Office,Furniture,Office Furnishings,"6"" Cubicle Wall Clock, Black",Small Box,0.49,2009-01-16,2.192770226986839,2.2071749081893874
2009-12-06,High,26.0,182.09,0.0,Regular Air,-28.15,Sonia Sunley,British Columbia,West,Small Business,Office Supplies,Paper,Xerox 1995,Small Box,0.37,2009-12-07,1.8229350866965048,2.012232791986386
2011-03-04,Not Specified,35.0,543.72,0.05,Regular Air,-211.13,Matt Collins,British Columbia,West,Consumer,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,2011-03-06,2.505525936990736,2.8154087194227095
2012-03-27,Medium,31.0,1184.53,0.05,Regular Air,-26.49,Shaun Weien,Manitoba,Prarie,Home Office,Technology,Computer Peripherals,"IBM Active Response Keyboard, Black",Small Box,0.67,2012-03-28,2.0943301541735866,3.7130841428107537
2012-02-06,Not Specified,50.0,346.06,0.0,Regular Air,-76.54,Jane Waco,Ontario,Ontario,Corporate,Office Supplies,Paper,Xerox 1904,Small Box,0.36,2012-02-06,1.925707441737794,2.012232791986386
2012-04-22,High,9.0,44.51,0.01,Regular Air,-43.48,Emily Burns,Nova Scotia,Atlantic,Home Office,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Small Box,0.6,2012-04-24,2.065596134857783,1.6213664832993742
2010-12-24,High,28.0,51.14,0.08,Regular Air,-81.96,Nancy Lomonaco,Ontario,Ontario,Home Office,Furniture,Office Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",Small Pack,0.53,2010-12-26,1.6253112615903906,1.007957920399979
2012-01-12,Critical,20.0,430.41,0.08,Regular Air,-1.55,Mitch Gastineau,Alberta,West,Small Business,Furniture,Office Furnishings,"Seth Thomas 12"" Clock w/ Goldtone Case",Small Box,0.51,2012-01-13,2.149433913499871,3.177220149599368
2010-12-22,Not Specified,5.0,27.9,0.02,Regular Air,-22.82,Corinna Mitchell,Ontario,Ontario,Corporate,Office Supplies,Paper,Xerox 1927,Small Box,0.4,2010-12-24,2.0438143640366846,1.66392609771817
2011-06-23,Critical,27.0,172.7,0.07,Regular Air,-42.97,Karl Brown,Ontario,Ontario,Home Office,Office Supplies,Paper,Xerox 231,Small Box,0.37,2011-06-25,1.809926773183504,2.012232791986386
2009-01-21,Not Specified,40.0,751.94,0.07,Regular Air,69.08,Larry Tron,Alberta,West,Home Office,Office Supplies,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,Small Box,0.37,2009-01-23,2.2700619012884857,3.043569602968151
2009-11-24,Not Specified,11.0,194.174,0.03,Regular Air,-20.911,Stephanie Phelps,Alberta,West,Consumer,Technology,Telephones and Communication,Accessory25,Wrap Bag,0.57,2009-11-26,0.688134638736401,3.09058780456667
2009-07-17,Not Specified,43.0,1114.42,0.09,Regular Air,425.07,Liz Carlisle,Saskachewan,Prarie,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD+RW, 3/Pack",Small Pack,0.4,2009-07-18,1.095273387402595,3.383712067321136
2011-02-06,Critical,17.0,86.29,0.02,Regular Air,34.98,Natalie Webber,Manitoba,Prarie,Consumer,Office Supplies,Labels,Avery White Multi-Purpose Labels,Small Box,0.39,2011-02-09,0.3987761199573678,1.7884205679625405
2009-07-07,Low,20.0,668.8,0.04,Regular Air,92.34,Troy Blackwell,Manitoba,Prarie,Home Office,Office Supplies,Storage & Organization,"File Shuttle II and Handi-File, Black",Small Box,0.6,2009-07-12,1.8082887711792655,3.5522002551986827
2010-02-23,Medium,46.0,161.28,0.01,Regular Air,56.73,Alex Grayson,Newfoundland,Atlantic,Consumer,Office Supplies,Rubber Bands,OIC Bulk Pack Metal Binder Clips,Wrap Bag,0.39,2010-02-25,0.5653138090500605,1.501852701754163
2012-09-20,Medium,8.0,149.51,0.02,Regular Air,-31.11,Darren Budd,Yukon,Yukon,Consumer,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61,2012-09-22,2.5945081597030812,2.8892600290434745
2012-02-26,Critical,18.0,203.57,0.01,Regular Air,-4.84,Maya Herman,Saskachewan,Prarie,Corporate,Office Supplies,Appliances,Staples Surge Protector 6 outlet,Small Box,0.58,2012-02-29,1.6074359097634274,2.4832385926873033
2012-01-11,High,16.0,275.01,0.0,Regular Air,-87.11,Ed Braxton,Manitoba,Prarie,Home Office,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,2012-01-12,2.505525936990736,2.8154087194227095
2010-02-21,Not Specified,29.0,61.22,0.06,Express Air,-76.88,Darren Budd,Ontario,Ontario,Home Office,Furniture,Office Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",Small Pack,0.53,2010-02-23,1.6253112615903906,1.007957920399979
2010-03-02,Critical,29.0,1098.506,0.05,Regular Air,218.727,Lena Cacioppo,British Columbia,West,Home Office,Technology,Telephones and Communication,T61,Small Box,0.56,2010-03-03,1.252762968495368,3.849934813114724
2012-04-11,Low,29.0,271.33,0.07,Regular Air,-191.09,Rob Dowd,British Columbia,West,Corporate,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,Small Box,0.6,2012-04-18,2.34660197841082,2.3711778844596574
